#separator:tab
#html:false
# TOCFL Band C · Level 6 · 精通級 (C2) — second half of SC-TOP level-5 list
# Regenerate: python scripts/build-tocfl-deck.py
# field 1 = character, field 2 = pinyin, field 3 = English meaning
墨	mò	ink, handwriting
至	zhì	(from...) to
至	zhì	to, until, till
治安	zhì ' ān	public order/security
治本	zhì běn	get at root, take radical measures, effect a permanent cure, get at the root
治標	zhì biāo	palliate, merely alleviate symptom of illness, take stopgap measures, bring about a temporary solution, palliative, merely alleviate the symptoms of an illness
制裁	zhì cái	sanction, punish
致詞	zhì cí	make a speech
制訂	zhì dìng	work/map out, formulate
致富	zhì fù	thrive, flourish, become rich, prosper, make a fortune
至今	zhì jīn	up to now, so far
治理	zhì lǐ	administer, govern, bring under control, put in order
致力	zhì lì	devote oneself (to)
智力	zhì lì	intelligence, intellect
治療	zhì liáo	treat, cure
滯留	zhì liú	be detained
致命	zhì mìng	fatal, mortal, deadly
製品	zhì pǐn	products, manufactured goods
志趣	zhì qù	aspiration and interest, inclination, bent
志向	zhì xiàng	aspiration, ideal, ambition
致意	zhì yì	devote attention to, send best regards, send one's greetings
終場	zhōng chǎng	end of performance, final session in an examination
中斷	zhōng duàn	suspend, break off
中和	zhōng hé	neutralize
終結	zhōng jié	end, final stage
終究	zhōng jiù	eventually, in the end, after all
中肯	zhòng kěn	①appropriate; to the point ②to hit the mark; to strike home 3.cogency
中立	zhōng lì	neutral
終身	zhōng shēn	lifelong, all one's life
忠實	zhōng shí	true, faithful
衷心	zhōng xīn	heartily, wholeheartedly, cordially
中旬	zhōng xún	middle 10 days of month
中葉	zhōng yè	middle period
中醫	Zhōng yī	doctor of trad. Ch. medicine
中庸	zhōng yōng	moderate, not extreme, not too much of anything
中風	zhòng fēng	have a stroke
中獎	zhòng jiǎng	win prize, draw a prizewinning ticket, draw prizewinning ticket, prize, draw prizewinning number
中暑	zhòng shǔ	heatstroke, suffer heatstroke, sunstroke, have sunstroke, suffer sunstroke, be affected by the sunstroke
重用	zhòng yòng	put sb. in important position
重鎮	zhòng zhèn	strategic place
種植	zhòng zhí	plant, grow
周邊	zhōu biān	periphery
周密	zhōu mì	complete, thorough
周詳	zhōu xiáng	complete, thorough
周遊	zhōu yóu	journey/travel round
周轉	zhōu zhuǎn	①[economics] turnover ②(of funds) circulating; revolving 3.to have enough to meet the need
皺	zhòu	knit, crease, shrivel, wrinkly, draw, gather, wrinkle
皺紋	zhòu wén	wrinkles, lines
株	zhū	[general] individaul measure word for plants, such as a grass, a flower
諸多	zhū duō	a good deal, a lot of
逐	zhú	to drive out, expel
逐	zhú	each
逐步	zhú bù	step by step, progressively
主導	zhǔ dǎo	leading, dominant, guiding
囑咐	zhǔ fù	give instructions; ask (s.o.) to do
主管	zhǔ guǎn	be in charge of, be responsible for
主見	zhǔ jiàn	one's own judgment/view
主角	zhǔ jiǎo	leading role, lead, protagonist
主力	zhǔ lì	main force
主流	zhǔ liú	essential/main aspect/trend
矚目	zhǔ mù	fix eyes on
主權	zhǔ quán	sovereign rights, sovereignty
主人翁	zhǔ rén wēng	master, leading character in novel/etc., protagonist
主義	zhǔ yì	doctrine, -ism
主宰	zhǔ zǎi	dominate, dictate, decide
主旨	zhǔ zhǐ	purport, substance, gist
主軸	zhǔ zhóu	main shaft, spindle
駐	zhù	halt, stay, be stationed at
注定	zhù dìng	be doomed/destined
住戶	zhù hù	household, resident
助教	zhù jiào	teaching assistant
佇立	zhù lì	stand still for long while
注目	zhù mù	fix eyes on
住宿	zhù sù	stay, put up, get accommodations
注視	zhù shì	watch attentively, gaze at
助手	zhù shǒu	assistant, aide
柱子	zhù zi	post, pillar
著作	zhù zuò	work, book, writings
注重	zhù zhòng	lay stress on, pay attention to
準	zhǔn	definitely, certainly
准許	zhǔn xǔ	permit, allow
準則	zhǔn zé	norm, standard, criterion
抓緊	zhuā jǐn	seize
磚	zhuān	brick
專櫃	zhuāng u ì	shoppe
專員	zhuān yuán	assistant director, (administrative) commissioner, person specially assigned for a job
專制	zhuān zhì	despotic
轉動	zhuǎn dòng	turn (round), move
轉化	zhuǎn huà	change, transform
轉機	zhuǎn jī	turn for better
轉手	zhuǎn shǒu	transfer, pass on to another
轉向	zhuǎn xiàng	change direction
轉眼	zhuǎn yǎn	in the blink of an eye
轉移	zhuǎn yí	shift, transfer, divert, change, transform
轉帳	zhuǎn zhàng	transfer accounts
賺錢	zhuàn qián	make money/profit
撰寫	zhuàn xiě	write
裝備	zhuāng bèi	equipment, outfit
裝潢	zhuāng huáng	mount (picture/etc), decorate, paste, glue
裝配	zhuāng pèi	assemble, fit together
莊嚴	zhuāng yán	solemn, dignified, stately
裝運	zhuāng yùn	transport
裝置	zhuāng zhì	install, fit
壯觀	zhuàng guān	magnificent
壯麗	zhuàng lì	majestic, magnificent
狀元	zhuàng yuán	Number One Scholar (title conferred on top scorer in highest, the very best (in any field)
追捕	zhuī bǔ	pursue and capture
追查	zhuī chá	investigate, trace, find out
追究	zhuī jiù	look into, find out, investigate
酌量	zhuó liàng	consider, deliberate
著手	zhuó shǒu	set to, get to work
著重	zhuó zhòng	emphasize, attach importance
卓越	zhuó yuè	outstanding, brilliant
