#separator:tab
#html:false
# TOCFL Band C · Level 6 · 精通級 (C2) — second half of SC-TOP level-5 list
# Regenerate: python scripts/build-tocfl-deck.py
# field 1 = character, field 2 = pinyin, field 3 = English meaning
墨	mò	ink, handwriting
伸張	shēn zhāng	spread
神	shén	magical, mystical, miraculous
神情	shén qíng	expression, look
審核	shěn hé	examine and verify
審判	shěn pàn	try legal case
審慎	shěn shèn	cautious; circumspect
審議	shěn yì	deliberate
甚	shèn	very, extremely
滲入	shèn rù	permeate, seep into
聲稱	shēng chēng	profess, claim
生火	shēng huǒ	beet, fire up, make a fire, light a fire
生理	shēng lǐ	physiology
聲明	shēng míng	statement, pronouncement
生平	shēng píng	all one's life (of deceased)
生氣	shēng qì	vitality, vigor, life
升遷	shēng qiān	be transferred and promoted
生前	shēng qián	during lifetime (of deceased)
生人	shēng rén	stranger
生死	shēng sǐ	life and/or death
聲勢	shēng shì	impetus, momentum
生態	shēng tài	ecology
生物	shēng wù	living thing, organism
生效	shēng xiào	operate, become effective, effective, inure, go into effect, take effect
生硬	shēng yìng	harsh, rigid
生殖	shēng zhí	reproduce
升值	shēng zhí	[economics] revaluation; an appreciation
省事	shěng shì	tactful, save trouble, simplify matters
盛	shèng	fill, ladle, hold, contain
勝地	shèng dì	famous scenic spot
盛情	shèng qíng	hospitality
聖賢	shèng xián	sages
盛行	shèng xíng	be current, be in vogue
盛裝	shèng zhuāng	topdress, attire, prink
失	shī	lose, miss, let slip
師範	shī fàn	teacher-training, pedagogical
施肥	shī féi	muck, feed, apply fertilizer, fertilize, soil, spread manure, manure, nourish, dung, compost
失靈	shī líng	not work or not work properly, conk, malfunction, be out of order
失落	shī luò	lose, drop
失明	shī míng	become blind, lose one's sight, go blind
失事	shī shì	mismanage, wreck, have an accident
失手	shī shǒu	accidentally drop, blunder, misplay, fumble
屍體	shī tǐ	corpse, remains
施行	shī xíng	put in force, execute, implement, apply, perform
失蹤	shī zōng	be missing
拾	shí	pick up, collect
實	shí	①real; ②solid, full, substantial
實	shí	truely, really, actually
時差	shí chā	time difference, jet lag, equation of time
實地	shí dì	on the ground/spot
石膏	shí gāo	gypsum
時光	shí guāng	time
實踐	shí jiàn	practice
時節	shí jié	season, time
實況	shí kuàng	actual situation/happening
實例	shí lì	concrete example
時髦	shí máo	fashionable, in vogue
實習	shí xí	practice, do fieldwork
時效	shí xiào	period of effectiveness, prescription, aging
十足	shí zú	100 percent; out-and-out; downright
實證	shí zhèng	concrete evidence
實質	shí zhí	substance, essence
屎	shǐ	excrement, dung, dropping, secretion (of eye/ear/etc)
使喚	shǐ huàn	order about, be bossy, use, handle
使節	shǐ jié	diplomatic envoy
使勁	shǐ jìn	exert all one's strength, muscle, muscle into
史料	shǐ liào	historical data/materials
使命	shǐ mìng	mission
勢必	shì bì	certainly will, be bound to
事變	shì biàn	incident, emergency, exigency
士兵	shì bīng	rank-and-file soldiers
世代	shì dài	generation, period, epoch
示範	shì fàn	demonstrate, exemplify, exhibit
釋放	shì fàng	release, set free
事故	shì gù	accident, mishap
嗜好	shì hào	hobby, addiction, habit
世間	shì jiān	earth, world
事件	shì jiàn	incident, event
試卷	shì juàn	examination paper
視覺	shì jué	visual sense, vision
市面	shì miàn	business/market conditions
